Unnamed: 0,id,url,type,subtype,bedroomCount,bathroomCount,province,locality,postCode,habitableSurface,roomCount,monthlyCost,hasAttic,hasBasement,hasDressingRoom,diningRoomSurface,hasDiningRoom,buildingCondition,buildingConstructionYear,facedeCount,floorCount,streetFacadeWidth,hasLift,floodZoneType,heatingType,hasHeatPump,hasPhotovoltaicPanels,hasThermicPanels,kitchenSurface,kitchenType,landSurface,hasLivingRoom,livingRoomSurface,hasBalcony,hasGarden,gardenSurface,gardenOrientation,parkingCountIndoor,parkingCountOutdoor,hasAirConditioning,hasArmoredDoor,hasVisiophone,hasOffice,toiletCount,hasSwimmingPool,hasFireplace,hasTerrace,terraceSurface,terraceOrientation,accessibleDisabledPeople,epcScore,price
0,20661494.0,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/20661494,APARTMENT,APARTMENT,2.0,1.0,Brussels,Etterbeek,1040,100.0,,,,True,,,,GOOD,2004.0,1.0,7.0,,True,NON_FLOOD_ZONE,GAS,,,,12.0,SEMI_EQUIPPED,,True,35.0,,,,,1.0,,,,True,,1.0,,,True,7.0,,,C,399000.0
1,20647642.0,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/20647642,HOUSE,HOUSE,4.0,2.0,Brussels,Etterbeek,1040,270.0,12.0,,True,True,,,True,TO_BE_DONE_UP,1910.0,2.0,3.0,5.0,,NON_FLOOD_ZONE,FUELOIL,,,,6.0,INSTALLED,209.0,True,55.0,,True,100.0,NORTH_WEST,,,,,,True,3.0,,,True,1.0,,,E,895000.0
2,20644816.0,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/20644816,APARTMENT,APARTMENT,2.0,1.0,Brussels,Etterbeek,1040,87.0,,,,,,,,AS_NEW,1970.0,2.0,7.0,,True,,FUELOIL,,,,,HYPER_EQUIPPED,,True,40.0,,,,,,,,,,,1.0,,,True,2.0,,,F,465000.0
